label,,大洲：,别名,label,artist_names,params,img,周播放冠军次数：,上榜周数,,2019-02-07,2019-02-14,2019-02-21,2019-02-28,2019-03-07,2019-03-14,2019-03-28,2019-04-04,2019-04-11,2019-04-18,2019-04-25,2019-05-02,2019-05-09,2019-05-16,2019-05-23,2019-05-30,2019-06-06,2019-06-13,2019-06-20,2019-06-27,2019-07-04,2019-07-11,2019-07-18,2019-07-25,2019-08-01,2019-08-08,2019-08-15,2019-08-22,2019-08-29,2019-09-05,2019-09-12,2019-09-19,2019-09-26,2019-10-03,2019-10-10,2019-10-17,2019-10-24,2019-10-31,2019-11-07,2019-11-14,2019-11-21,2019-11-28,2019-12-05,2019-12-12,2019-12-19,2019-12-26,2020-01-02,2020-01-09,2020-01-16,2020-01-23,2020-01-30,2020-02-06,2020-02-13,2020-02-20,2020-02-27,2020-03-05,2020-03-12,2020-03-19,2020-03-26,2020-04-02,2020-04-09,2020-04-16,2020-04-23,2020-04-30,2020-05-07,2020-05-14,2020-05-21,2020-05-28,2020-06-04,2020-06-11,2020-06-18,2020-06-25,2020-07-02,2020-07-09,2020-07-16,2020-07-23,2020-07-30,2020-08-06,2020-08-13,2020-08-20,2020-08-27,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-01,2020-10-08,2020-10-15,2020-10-22,2020-10-29,2020-11-05,2020-11-12,2020-11-19,2020-11-26,2020-12-03,2020-12-10,2020-12-17,2020-12-24,2020-12-31,2021-01-07,2021-01-14,2021-01-21,2021-01-28,2021-02-04,2021-02-11,2021-02-18,2021-02-25,2021-03-04,2021-03-11,2021-03-18,2021-03-25,2021-04-01,2021-04-08,2021-04-15,2021-04-22,2021-04-29,2021-05-06,2021-05-13,2021-05-20,2021-05-27,2021-06-03,2021-06-10,2021-06-17,2021-06-24,2021-07-01,2021-07-08,2021-07-15,2021-07-22,2021-07-29,2021-08-05,2021-08-12,2021-08-19,2021-08-26,2021-09-02,2021-09-09,2021-09-16,2021-09-23,2021-09-30,2021-10-07,2021-10-14,2021-10-21,2021-10-28,2021-11-04,2021-11-11,2021-11-18,2021-11-25,2021-12-02,2021-12-09,2021-12-16,2021-12-23,2021-12-30,2022-01-06,2022-01-13,2022-01-20,2022-01-27,2022-02-03,2022-02-10,2022-02-17,2022-02-24,2022-03-03,2022-03-10,2022-03-17
Stephane Legar(pop),pop,未知,Stephane Legar,/g/11gdzbggh4,Stephane Legar,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/9MqHffbgpD4/default.jpg,0,162,160+,2796561,5172531,7593018,9842984,11765156,13313534,14841626,16519602,18353894,20154623,21737869,22700314,23665431,24520655,25445804,26283323,27071357,27916683,29359898,30505112,31469371,32332188,33188244,34119099,34901033,35620902,36405245,37216993,38000417,38570234,39110989,40045831,40692580,41910572,42927635,44205586,45240324,46096766,46912055,47696789,48425487,49114239,50036287,51194176,52279400,53518523,54815511,56043995,57245949,58350882,59363524,60429965,61498016,62634909,63724095,64759026,65833052,67033925,68366474,69635874,70743885,71769305,72806696,73775786,74685895,75538016,76301312,77068259,77689265,78328571,78980711,79984736,81510123,82230028,82916885,83560828,84127312,84747953,85433739,86148542,86808603,87365035,87863828,88416279,89104879,89724386,90442726,91092747,91661247,92172306,92621578,93046731,93470816,93887450,94286877,94693926,95134172,95527725,95942980,96409179,96930374,97466766,97982756,98530764,99050442,99560321,100011276,100450123,100892997,101326172,101809890,102268207,102643152,102983111,103478005,104036037,104564911,105037119,105471252,105863464,106264750,106652084,107024668,107389632,107776251,108741710,109520141,110256192,110981001,111756922,112483111,113210035,113953341,114601403,115167184,115609973,116154724,116627633,117018912,117421379,117792087,118134635,118476579,118813373,119178474,119493277,119825753,120154615,120453964,120756237,121045093,121376718,121828428,122243695,122625355,122978299,123311940,123624249,123922812,124197012,124468462,124778439
A妹(pop),pop,北美,A妹,/m/09gkdy4,Ariana Grande,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/B6_iQvaIjXw/default.jpg,0,162,160+,1343467,2345337,3922871,5528204,7080955,8425315,9733881,10991219,12275180,13513765,14586957,15405402,16197889,16934663,17646139,18297954,18956457,19583522,20187422,20746939,21299658,21843674,22400515,22900563,23402636,24183808,24817022,25411558,26013136,26539292,27093654,28064652,28763913,29367405,29876878,30439350,30971040,31484346,32043117,32598073,33109434,33597477,34084916,34559839,35032740,35582496,36071768,36525147,36974470,37407955,37833409,38289285,38727970,39155293,39564356,39956077,40345978,40755858,41172866,41603476,42022672,42431102,42859088,43261353,43701188,44375483,44889399,45681363,46272344,46855952,47397052,47931112,48456317,48955485,49453992,49942679,50424663,50945478,51467054,51978128,52455316,52928405,53396746,53870853,54337632,54747788,55203651,55669284,56160006,57012819,58005849,58792021,59740380,60688304,61547690,62393562,63237895,64079556,64965924,65821763,66644184,67486345,68276151,69070775,69881208,70759470,71585315,72365245,73106629,73817441,74543216,75145627,75737708,76318027,76872222,77796153,78632642,79277110,79754463,80247510,80748405,81215643,81655813,82109567,82543381,82975696,83408020,83875849,84333077,84751024,85206369,85638293,86047758,86427054,86783867,87114377,87499111,87867018,88215163,88579849,88954812,89306240,89665000,90020606,90366107,90683921,91022093,91370616,91710957,92046205,92411213,92748214,93085289,93415295,93738585,94061340,94394713,94720427,95043070,95354140,95668816,95983254
铁桶(edm),edm,北美,铁桶,/g/11cp7gjh1b,Marshmello,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/m7Bc3pLyij0/default.jpg,0,115,110+,1252915,2320108,3216007,3981584,4663855,5354977,6081029,6769759,7478887,8146240,8748728,9241265,9757006,10178823,10612731,11037526,11434680,11831205,12269316,12705257,13170735,13632350,14061944,14480128,14928351,15397719,15820578,16335323,16834900,17216778,17550890,17903093,18246586,18624581,18950625,19374750,19771002,20097829,20418630,20760145,21083688,21388992,21691462,21992105,22274901,22578424,22848565,23125542,23409456,23705298,23992192,24267111,24549755,24840301,25121135,25416634,25755050,26147441,26538545,26963430,27395965,27748418,28078371,28402876,28777363,29169590,29521992,29880721,30175708,30503333,30842111,31205982,31630567,32075150,32590722,33060380,33439352,33855218,34266198,34649822,34979842,35287001,35581432,35913327,36256331,36585795,36960745,37337464,37696315,38062295,38386636,38706363,39023412,39330888,39619870,39619870,39619870,39619870,39619870,39619870,39947283,40268722,40580941,40908032,41224958,41525139,41815331,42113626,42402915,42402915,42402915,42680287,42680287,42680287,42680287,42680287,42680287,42680287,42680287,42680287,42972399,43253127,43532621,43532621,43532621,43532621,43763658,44018742,44275759,44525969,44791738,45073257,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686,45337686
הפרויקט של עידן רייכל(pop),pop,未知,הפרויקט של עידן רייכל,/m/0_y70vr,הפרויקט של עידן רייכל,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpSAIvw3bBynfijsVgItIoOLbHVPkDdXCVcQ&usqp=CAU,0,67,60+,1008197,2008412,2933772,3799734,4707373,5455079,6069729,6725267,7381291,8112053,8790592,9455087,10123232,10796164,11460365,12155466,12712611,13216376,13798003,14496714,15114171,15745793,16385492,16962756,17508601,18030637,18623517,19276883,19908089,20578814,21268085,21871988,22556076,23129949,23639177,24189648,24726616,25323393,25894189,26441906,27009208,27540265,28019968,28495589,28995573,29493859,29955825,30420316,30906106,31421657,32379730,33221160,34089189,35055349,35875836,36596897,37477017,38405609,39448964,40695367,41886059,42791949,43613901,44607049,45550211,46490500,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010,47404010
Idan Amedi(pop),pop,未知,Idan Amedi,/m/0vsy7t0,Idan Amedi,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/_HFQEZt77KU/default.jpg,0,162,160+,764489,1486971,2057704,2646708,3406660,3984748,4538187,5079030,5612103,6208500,6648844,7069609,7627876,8046847,8460925,8927804,9398907,9808544,10590929,11546595,12315300,13018206,13633624,14182249,14721367,15207876,15826867,16467552,17125077,17782484,18414293,18980746,19538107,20082717,20592869,21121680,21609680,22126372,22631099,23092241,23581129,24049521,24460034,25014326,25710420,26354270,26953827,27518183,28089294,28658704,29207295,29762416,30451401,31370036,32190893,32971460,33699386,34409739,35194609,35982472,36781300,37430075,38063917,38952286,39608030,40195395,40953151,41763474,42407696,43064089,43689345,44320820,44939680,45546905,46106712,46663519,47198883,47902866,48669204,49365572,50047390,50675710,51327621,52152601,53123418,53893614,54652848,55363136,56101268,56814906,57481303,58148001,58864453,59592510,60343085,61074871,61771241,62463582,63167693,63847593,64480248,65086479,65674429,66580719,67479306,68236467,68956533,69659205,70446320,71218728,72108508,72816313,73482445,74344268,75013808,75703906,76364321,76930977,77486392,78267641,79011178,79758314,80444323,81105105,81709305,82262783,82775426,83320170,83876359,84562594,85323385,86032676,86768333,87606669,88466391,89271468,90098870,90761362,91483021,92261281,92946073,93657741,94403648,95081813,95751053,96404839,97084198,97709781,98353890,98939303,99500245,100056051,100655413,101215796,101758746,102327471,102934280,103537763,104099836,104622647,105148750,105653912
Static & Ben El Tavori(pop),pop,未知,Static & Ben El Tavori,/g/11bx1z85dk,Static & Ben El Tavori,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpSAIvw3bBynfijsVgItIoOLbHVPkDdXCVcQ&usqp=CAU,0,29,20+,746749,1491272,2015343,2380942,2969056,3267199,3545267,3824060,4137655,4483229,4833534,5046654,5046654,5046654,5046654,5046654,5046654,5046654,5046654,5046654,5046654,5046654,5046654,5276122,5534715,5753375,6136583,6535637,6905853,7179106,7427370,7683549,7683549,7967393,8966364,9759509,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10354941,10690987,10690987,10690987,12268925,13910014,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139,15653139
Nathan Goshen(pop),pop,未知,Nathan Goshen,/m/0vsy8fl,Nathan Goshen,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/C-_aF54KFs0/default.jpg,0,162,160+,719888,1414888,2087325,2761126,3436980,4122875,5091179,6728737,8222693,9727889,10825607,11611800,12336044,13144691,13981268,14853025,15745708,16587397,17512080,18408693,19317581,20121333,20884362,21915065,22673616,23355283,24174026,25029099,25912954,26768996,27689074,28529498,29421940,30183891,30875023,31546978,32255488,33014678,33764281,34412568,35087558,36927114,38749985,40522463,42163907,43785579,45218828,46600966,48087387,49598288,50828138,51967825,53072956,54729133,56231207,57542417,58695333,59819997,61013138,62212588,63895281,65115496,66345713,67408591,68353949,69480888,70802664,72068125,73091095,74182480,75172938,76099920,76970000,77744787,78444720,79100852,79753769,80603113,81343194,82064620,82744941,83380031,84078679,84754353,85350454,85914684,86547470,87106280,87718803,88352056,88946886,90578584,92594577,94416226,96144800,97724857,99152429,100470761,101739189,102948045,104030072,105069897,106066308,107037151,107994983,108904016,109761447,110648775,111567525,112965501,114477797,115531250,116492038,117425769,118313228,119215316,120107437,120895151,121543042,122356710,123214800,124115680,125039182,125920025,126752608,127592338,128415381,129271881,130180431,131091061,131980809,132928410,133840706,134726384,135527177,136249548,137071633,137855115,138683051,139503021,140336787,141230934,142158360,143073109,143945334,144754341,145565108,146323207,147111045,147857359,148624711,149327578,150045508,150739121,151428595,152114679,152836390,153548566,154240309,154893250,155590311,156280716
Idan Raichel(pop),pop,未知,Idan Raichel,/m/057hgk,Idan Raichel,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/uo8aSSWmGT8/default.jpg,0,150,150+,701450,1329934,1894141,2425966,2959842,3434261,3826372,4204728,4577664,4997092,5351185,5631814,5925637,6389223,6924447,7364474,7922180,8420785,8947457,9479258,9949463,10361489,10754382,11120517,11447837,11723407,12037534,12356431,12665383,12952724,13230849,13487389,13750743,13996090,14209331,14463433,14683374,14975748,15284929,15565650,15825662,16080203,16339126,16592494,16845465,17079103,17382817,17660873,17915925,18155493,18517342,18849601,19144967,19408267,19644521,19644521,19644521,19644521,19644521,19644521,19644521,19644521,19644521,19644521,19644521,19644521,19644521,20595031,21418300,22294450,23185868,24157844,25054472,25930891,26798002,27632597,28353143,29191766,30000747,30809990,31602174,32343778,33150333,33932336,34635717,35317566,36074984,36773838,37365589,38011485,39463276,40550545,41480249,42333326,43143628,43925734,44710330,45468586,46231462,46977325,47679554,48374353,49327027,50298460,51118354,51849805,52621890,53398383,54158196,54916413,55738105,56422804,57096325,57888190,58648906,59390790,60079556,60722757,61403846,62249953,63113034,63980041,64779733,65546097,66267057,66948478,67626289,68515952,69471863,70327982,71090824,71808630,72535736,73224830,73833673,74441703,75112744,75731967,76390541,77072726,77742531,78424518,79098073,79752971,80389096,81007379,81726433,82432960,83095550,83738625,84429765,85074421,85708448,86308527,86916479,87550730,88178298,88793772,89458515,90283402,91064488,91720229
魔力红乐队(pop),pop,北美,魔力红乐队,/m/02k5sc,Maroon 5,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/SlPhMPnQ58k/default.jpg,0,157,150+,680526,1352198,1969317,2544147,3090466,3634036,4150864,4644744,5162169,5699859,6147782,6518933,6889876,7227311,7581941,7928270,8276730,8609987,8945621,9291020,9625570,9956642,10280653,10581216,10884560,11189559,11493599,11820196,12146098,12444008,12779567,13091412,13450111,13758450,14061794,14505500,14886858,15272838,15643189,16064210,16521861,17087466,17827151,18726881,19414138,19927092,20418256,20919195,21422529,21890308,22316246,22715958,23112781,23529801,23943201,24325319,24685454,25053888,25436458,25836111,26230401,26602041,26965666,27299919,27656465,28017580,28349861,28689627,28997426,29320484,29644510,29984654,30333976,30698481,31043401,31389186,31738634,32124810,32509355,32904220,33298616,33676474,34034021,34384595,34717890,35029718,35405039,35779107,36158925,36510214,36859650,37218480,37567022,37898236,38215870,38544435,38881233,39197794,39535603,39881175,40240200,40601811,40969322,40969322,40969322,40969322,41322305,41694022,41694022,41694022,42149598,42533615,42913570,43313221,43688082,44064438,44432144,44739302,45034900,45381629,45741451,46077195,46448361,46788452,47114712,47450620,47778761,48112638,48464689,48809223,49156760,49512505,49862346,50195289,50514773,50805493,51138763,51441264,51769725,52077814,52389212,52705195,53039594,53347207,53661891,53939494,54244810,54535085,54792791,55066848,55400751,55729909,56025412,56326749,56619236,56927362,57275865,57620279,58021786,58489585,58915517,59313758
黄老板(pop),pop,欧洲,黄老板,/m/0g9sr1k,Ed Sheeran,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/JGwWNGJdvx8/default.jpg,0,160,160+,611247,1228281,1838428,2424194,2973281,3505685,4016319,4548044,5063620,5570235,6011489,6390181,6754114,7545601,8409355,9227187,9967322,10643447,11367626,12186693,13022315,13853825,14971384,15812408,16598131,17367087,18187632,18990125,19832449,20608741,21414605,22171741,22910410,23562414,24187721,24787484,25382114,25984569,26611719,27260180,27898378,28588834,29333119,30145904,30814743,31487351,32157701,32819526,33513867,34241600,34940293,35631666,36294759,36910251,37498215,38064833,38632953,39221449,39857508,40518911,41136167,41713354,42274249,42774027,43308780,43888697,44458799,45010843,45499277,46057848,46586096,47072749,47560372,48044008,48541961,49021493,49401682,49821757,50226762,50619934,50990695,51361184,51736044,52134306,52509856,52882743,53325375,53790152,54254577,54689404,55107753,55535416,55970044,56399849,56719216,57029653,57029653,57353539,57702437,58060572,58418288,58764360,59101388,59444917,59794720,60125310,60443827,60760454,61079215,61399415,61751756,62054115,62355650,62642098,62937363,63237570,63524432,63753959,63974332,64238357,64502786,64765923,64765923,65015793,65375093,65757727,66126734,66500086,66888938,67262827,67637118,68028632,68501478,68923429,69319893,69780902,70266144,70738801,71288322,71798675,72279319,72786074,73549533,74267551,74840927,75393193,75885616,76412403,76908046,77401944,77987551,78583025,79102868,79588489,80059407,80516339,80971701,81484667,81996421,82490687,82967856,83410967
土鳖(pop),pop,北美,土鳖,/m/0478__m,Lady Gaga,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/AoAm4om0wTs/default.jpg,0,86,80+,561651,1146757,1819650,2633729,3535707,4241367,4912219,5566601,6184858,6790330,7248102,7639534,8009079,8364556,8698286,9011458,9316965,9606226,9899688,10201844,10481072,10778283,11051560,11311116,11567051,11814909,12094536,12431424,12746262,13042958,13347081,13636797,13920567,14185243,14423483,14679647,14915050,15171791,15421505,15662723,15911148,16181195,16480364,16777465,17054351,17310240,17574980,17837212,18098293,18353771,18607742,18859762,19107195,19355932,19601724,19921282,20167885,20398784,20398784,20660078,20660078,20660078,20660078,20660078,20660078,20660078,20660078,21212277,21796412,22235216,22621173,22974701,23306794,23620583,23911968,24189667,24485350,24801577,25117633,25411617,25683919,25974672,26259546,26259546,26577879,26845537,27146706,27146706,27439163,27733437,28019915,28306103,28601589,28601589,28601589,28601589,28601589,28601589,28874133,29158218,29158218,29158218,29158218,29158218,29158218,29158218,29158218,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610,29440610
皮埃尔·詹姆斯·库塔(edm),edm,欧洲,皮埃尔·詹姆斯·库塔,/m/0840vq,David Guetta,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/ft4jcPSLJfY/default.jpg,0,100,100+,543748,1106288,1645640,2179572,2702871,3202437,3694996,4165303,4645902,5115488,5527185,5895430,6255969,6622407,6991551,7380825,7727392,8060264,8413011,8755541,9088894,9463774,9817825,10148786,10488554,10822540,11161793,11500484,11824796,12144503,12451637,12746466,13041161,13320290,13575073,13855150,14138163,14422552,14708840,14996097,15265762,15542739,15841969,16130696,16412543,16706480,16979457,17261792,17555329,17861593,18145870,18425409,18699596,18980728,19255811,19531586,19810827,20069743,20364675,20689864,20987324,21266737,21558313,21832284,22113391,22434054,22751098,23056704,23345493,23652444,23947893,24239918,24539153,24836568,25144359,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25444154,25724146,25724146,25724146,25724146,25724146,25724146,26028703,26328249,26632980,26942615,26942615,27254038,27532826,27816304,28092563,28365088,28648472,28932285,29163964,29382863,29671130,29954723,30235627,30235627,30493354,30493354,30493354,30725309,30725309,30725309,30977136,30977136,30977136,30977136,30977136,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31201640,31440182,31440182,31689309,31689309,31961441,31961441,31961441,31961441
Amir Dadon(pop),pop,未知,Amir Dadon,/m/0nhqw4z,Amir Dadon,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/wwoCnwVG4Ko/default.jpg,0,162,160+,435325,889403,1323534,1772810,2732426,3153017,3630628,4126384,4598916,5142657,5521147,5830497,6093911,6360483,6650389,6997369,7437160,7858485,8350266,9014694,9538357,9995672,10445599,10862880,11268332,11637616,12105721,12692110,14051643,15248799,16456068,17577926,19128333,20642836,22051085,23471369,24573609,25652822,26755386,27823956,28862933,30007999,31046476,32007953,32964757,33944794,34815303,35655156,36508368,37456933,38385576,39395216,40329954,41234237,42090978,42872437,43590475,44334833,45343661,46405341,47455068,48260055,48962939,49682726,50379416,51084998,51828644,52606492,53265845,53978190,54696315,55404710,56079066,56676341,57183342,57643939,58027601,58564088,59205858,59882308,60513228,61082839,61643043,62252487,62811546,63390337,64028192,64576061,65121078,65652678,66185773,66704405,67208859,67707445,68205347,68717940,69222186,69684456,70149027,70619834,71060829,71491982,71921124,72359187,72815636,73240390,73638551,74028175,74447649,74877086,75340784,75730882,76098984,76482403,76823423,77168940,77542344,77878308,78169599,78546556,79045323,79642590,80215242,80882678,81451876,81969432,82438119,83000953,83605288,84188990,84705733,85165393,85630685,86063381,86486949,86926430,87416182,87866223,88342215,88786095,89213189,89606340,89992251,90418230,90839737,91268762,91697432,92219185,92722811,93211003,93682990,94139735,94567999,95013924,95425048,95841521,96243730,96631822,97026561,97420626,97838000,98231739
阿姆(rap),rap,北美,阿姆,/m/01vsgrn,Eminem,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/EosMazKaPbU/default.jpg,0,162,160+,426394,857967,1284815,1704814,2115832,2515185,2890910,3273952,3649320,4010059,4346337,4658397,4979883,5302588,5634794,5970296,6301308,6619238,6960690,7286534,7614189,7948175,8277442,8602837,8927724,9250409,9587872,9945895,10307291,10649883,11022814,11392495,11769257,12135929,12474311,12825103,13175533,13542627,13917366,14287838,14654412,15003549,15354664,15705615,16054817,16390798,16707873,17030426,17374898,18151598,18789390,19413073,20029636,20640072,21238033,21809187,22437804,23099095,23651277,24187232,24679029,25141960,25608968,26054746,26519659,26987157,27434060,27884269,28327002,28781949,29228028,29676949,30106603,30522748,30966577,31372217,31773659,32191059,32590369,32981322,33363753,33749908,34134444,34511187,34856373,35180553,35536727,35908568,36306602,36710980,37118971,37536583,37961191,38374067,38783589,39194024,39603866,40237308,40785111,41308942,41809567,42283568,42794911,43294424,43793299,44280540,44774845,45267352,45764928,46261682,46764845,47228061,47697934,48168696,48644731,49135515,49637801,50048879,50446600,50887844,51353448,51811154,52249221,52679728,53101585,53519702,53930751,54327422,54737412,55130303,55543872,55956440,56378556,56783373,57182329,57538457,57944863,58345860,58763636,59197521,59639012,60085969,60540916,60968328,61407792,61811637,62215084,62613043,63007099,63389448,63791337,64199562,64614857,65043213,65483532,65919237,66371885,66842630,67386795,67902686,68403992,68878795
