label,,大洲：,别名,label,artist_names,params,img,周播放冠军次数：,上榜周数,,2019-02-07,2019-02-14,2019-02-21,2019-02-28,2019-03-07,2019-03-14,2019-03-28,2019-04-04,2019-04-11,2019-04-18,2019-04-25,2019-05-02,2019-05-09,2019-05-16,2019-05-23,2019-05-30,2019-06-06,2019-06-13,2019-06-20,2019-06-27,2019-07-04,2019-07-11,2019-07-18,2019-07-25,2019-08-01,2019-08-08,2019-08-15,2019-08-22,2019-08-29,2019-09-05,2019-09-12,2019-09-19,2019-09-26,2019-10-03,2019-10-10,2019-10-17,2019-10-24,2019-10-31,2019-11-07,2019-11-14,2019-11-21,2019-11-28,2019-12-05,2019-12-12,2019-12-19,2019-12-26,2020-01-02,2020-01-09,2020-01-16,2020-01-23,2020-01-30,2020-02-06,2020-02-13,2020-02-20,2020-02-27,2020-03-05,2020-03-12,2020-03-19,2020-03-26,2020-04-02,2020-04-09,2020-04-16,2020-04-23,2020-04-30,2020-05-07,2020-05-14,2020-05-21,2020-05-28,2020-06-04,2020-06-11,2020-06-18,2020-06-25,2020-07-02,2020-07-09,2020-07-16,2020-07-23,2020-07-30,2020-08-06,2020-08-13,2020-08-20,2020-08-27,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-01,2020-10-08,2020-10-15,2020-10-22,2020-10-29,2020-11-05,2020-11-12,2020-11-19,2020-11-26,2020-12-03,2020-12-10,2020-12-17,2020-12-24,2020-12-31,2021-01-07,2021-01-14,2021-01-21,2021-01-28,2021-02-04,2021-02-11,2021-02-18,2021-02-25,2021-03-04,2021-03-11,2021-03-18,2021-03-25,2021-04-01,2021-04-08,2021-04-15,2021-04-22,2021-04-29,2021-05-06,2021-05-13,2021-05-20,2021-05-27,2021-06-03,2021-06-10,2021-06-17,2021-06-24,2021-07-01,2021-07-08,2021-07-15,2021-07-22,2021-07-29,2021-08-05,2021-08-12,2021-08-19,2021-08-26,2021-09-02,2021-09-09,2021-09-16,2021-09-23,2021-09-30,2021-10-07,2021-10-14,2021-10-21,2021-10-28,2021-11-04,2021-11-11,2021-11-18,2021-11-25,2021-12-02,2021-12-09,2021-12-16,2021-12-23,2021-12-30,2022-01-06,2022-01-13,2022-01-20,2022-01-27,2022-02-03,2022-02-10,2022-02-17,2022-02-24,2022-03-03,2022-03-10,2022-03-17
Hanan Ben Ari(pop),pop,未知,Hanan Ben Ari,/g/11clwn6kf1,Hanan Ben Ari,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/RCgZiOVwQYk/default.jpg,0,162,160+,266141,530702,1194962,1923661,2715970,3325911,3833455,4341450,4903838,5512849,6023200,6375547,6872730,7466871,7905487,8376993,8858453,9313413,9804136,10254966,10905776,11381240,11868950,12471610,13049693,13567869,14192033,15009670,15817734,16931814,18107500,19172784,20360648,21564693,22792053,24041757,25035863,26032957,27072685,28107944,29207414,30429078,31542589,32868505,34202901,35640363,37181054,38566133,39946423,41195425,42097015,43044283,43981142,44922257,46030290,47537857,48978158,50524301,52242024,54414095,56307954,57705371,58835672,60161179,61362140,62624337,63895014,65226404,66299039,67467152,68610736,69821306,70975394,72033728,72991712,73874500,74582890,75534179,76506345,77563106,79204586,80595193,81894648,83164296,84480611,85747073,87149565,88376373,89607193,90904830,92141826,93339109,94501129,95751698,97793953,99756660,101725479,103514010,105284469,106969996,108615400,110179779,111719139,113346746,115020024,116526368,117908813,119230700,120562974,121891066,123383413,124561236,125554634,126819964,127861623,128882667,129956375,131274128,132506301,133883799,135289530,136675711,138047441,139422636,140803224,142053699,143119559,144262613,145527209,146855531,148073889,149307478,150900794,152806638,154557684,156099733,157842307,159341469,160772059,162195294,163539442,164865205,166338650,167851042,169245554,170468406,171711303,173212814,174721929,176073039,177442682,178884281,180287772,181578972,182880468,184126433,185371325,186599596,187790089,188962970,190088692,191149057
Mergui(pop),pop,未知,Mergui,/g/11gmzllxnx,Mergui,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/j_1Gnn_scMw/default.jpg,1,157,150+,843762,1659926,2739412,3918365,4919054,5728909,6552083,7235229,7950504,8726021,9508218,9994495,10489119,10931162,11395944,11782023,12122959,12528465,13345721,14410644,15204914,15906911,16540431,17102743,17633294,18131467,18614016,19084365,19551464,19935837,20625841,21499526,22458060,23394706,24162468,25055953,25794169,26481528,27179120,27874351,28509759,29095665,29633433,30723790,31715471,32831600,34013477,35185598,36339966,37359425,38347138,39343444,40339924,41303378,42259729,43146949,44030889,44915328,45714726,46436938,47083747,47606255,48081998,48783018,49338123,50187326,50968298,51784483,52475226,53295796,54147521,54941686,55693323,56370901,56967999,57542732,58089496,58637904,59183699,59711922,60197205,61221420,62965094,64285845,65318671,66045369,66785329,67414957,67970283,68507878,68929461,69299587,69659042,69999397,70331699,70651912,70997793,71286324,71601516,71948524,72348363,72763141,73165249,73568580,73983899,74453655,74969406,75449895,75907813,76326030,76765153,77138805,77451097,77748632,78002524,78255109,78255109,78473567,78473567,78473567,78473567,78473567,78920504,79378497,79861307,81110320,82107517,83117638,84078992,85049809,85898457,86704891,87474406,88115232,88698324,89246419,89881629,90495037,91043799,91571820,92156521,92732827,93294081,93838182,94331660,94758266,95222570,95673253,96106246,96528290,96957254,97370836,97799083,98233883,98644888,99041989,99423216,99925445,100334347,100686278,101035106,101413966
Noa Kirel(pop),pop,未知,Noa Kirel,/g/11bx563ps_,Noa Kirel,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://lh3.googleusercontent.com/a-/AOh14GgQPeD0Ko8NOW8uDOD1IX5QMa-ElKusQpu9M3_reA,2,162,160+,532563,2173312,4663940,6520580,8049610,9326506,10373110,11198044,12064107,13240855,14195199,16592006,18614495,20227316,21413317,22371104,23275022,24203836,25041246,25848201,26674964,27501614,28304757,30153502,32341955,34168933,35804742,37465922,39021050,40219332,41430467,42631621,44206703,45723277,47332573,49286163,50877039,52290841,53718398,55134719,56544963,57906206,59152991,60342139,61433735,62760045,64004617,65095774,66268176,67433786,69042823,70636464,72156412,73621642,74974612,76265548,77627258,79110205,80540910,81898393,83151964,84228428,85282626,86378844,87486517,88589933,89544495,90468836,91270204,93051850,96129735,98974248,101181700,103328443,105332740,107147727,108740806,110382897,112047001,113991187,115733183,117767838,120430087,122654894,124643086,126243659,127938028,129418639,131015024,132763874,134555785,136337365,137962836,139445609,140877204,142357567,143899964,145213511,146508132,147739940,148958608,150101650,151161985,152197333,153208816,154205967,155255249,156289062,158394753,160517710,162593581,164392173,165950713,167356573,168583563,169805410,170947510,171938606,172810804,174251137,175500826,176467323,177384857,179010280,181280172,184036170,187294262,190695569,193424083,196089923,198402081,200653983,202758779,204507206,206152553,207459779,209132906,210452009,211541140,212656304,214509040,215823801,217008458,218045881,219002475,219873906,220812985,221796408,223133793,224568405,225798123,227124947,228491355,230467677,232118560,233587480,234952812,236330085,237597339,238764779,239930029,241198960
Ishay Ribo(pop),pop,未知,Ishay Ribo,/m/010sb4p6,Ishay Ribo,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/K2k3JEpg6K4/default.jpg,3,162,160+,2024530,3916209,5839997,7776091,9781539,11627849,13453492,15479416,17543177,19765087,21193869,22215035,23324479,24396352,25551504,26910696,28377639,29687732,31148857,32535846,33858489,34895593,35704673,36715815,37609009,38374860,39813742,42063689,44277363,46603292,49054469,51477122,54450778,57508503,60821268,63667886,66034482,68351119,70521576,72482979,74684455,78502368,82154895,85748482,89169996,92532017,95547453,98445294,101406246,104292510,106949575,109499642,111930409,114351108,116795764,119016576,121052085,123200289,125612755,128493289,131649310,134039675,136044894,137945210,139670788,141465857,143413489,145449636,147088511,148952173,150528197,152337927,154021856,155566443,156892588,158108441,159132693,160638818,162099512,163563837,165064106,166626452,168169502,169840503,171428600,173215252,175222324,176806617,178364919,179874361,181293203,182686227,184080375,185461632,186802382,188112295,189429110,190624249,191808423,192998424,194160898,195300126,196418368,197554864,198624669,199619772,200818830,202552036,204401767,206296135,208422559,209892637,211198205,212534274,213738211,214905613,216310968,217645920,218901325,220458906,221975177,223554095,225067799,226568417,227896332,229071487,230122732,231375168,232752282,234120538,235387492,236652922,237918501,239143453,240492923,242042128,243470099,244606179,245781934,246955361,248069134,249150113,250257941,251431823,252528322,253609431,254724839,255778209,256826813,257911732,259018060,260070940,261085402,262044432,262922854,263817463,264744606,265636030,266540318,267450634,268435857,269477589
Eden Ben Zaken(pop),pop,未知,Eden Ben Zaken,/g/11bw3h_xw2,Eden Ben Zaken,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://lh3.googleusercontent.com/a-/AOh14GinCM8XawZF5bbFdwRQ3AlmMj9UoD73XHhnvnwq1g,15,162,160+,3273474,6037052,8500285,10914827,13811653,16578448,18867029,20907363,23377662,28059490,31330992,33670214,35722081,37636543,39577141,41349734,43050052,44770686,46450115,47893342,49260059,51520982,53277478,54917268,56485432,57932307,59857265,61945322,63738950,65230647,66694105,68173906,69508266,70792666,71862116,73109685,74276081,75410650,76574070,77666514,78718036,80757656,82568057,84380792,86135044,87840091,89512836,91116420,92762574,94321560,95789150,97223676,98576947,99940020,101219332,102448038,103707961,105343667,107007104,108559309,110097749,111654510,112969753,114304567,115589133,116882123,118041065,119216745,120222332,121260821,122271778,123288396,124315469,127236218,130307959,133106314,135224779,137401550,139478333,141964460,144131965,145839895,147544991,150181993,152606660,154529627,156603249,158357466,159945674,161472451,162782876,165013868,167522539,169762495,171885267,174258638,176834583,178813016,180593454,182228834,183765844,185273509,187016437,188723694,190316389,191792505,193206805,194636019,196055550,197710891,199706478,201450955,202951736,204535962,205956217,210105618,214660121,219451406,223360656,227947448,232563231,236853935,241053326,245000088,248725003,252041268,254987835,257870074,261008789,263923540,266604974,270192157,273381204,276378798,279223996,281617471,284473472,287187515,289645280,291995004,294092257,296097003,298202664,300209825,302193162,303954486,305715465,308144451,310455860,312687625,315194355,318434940,321310283,323740816,326467207,329352847,332175802,334964636,337617425,340294738,343003308,345503753
Static And Ben El(pop),pop,未知,Static And Ben El,/g/11d_vrwwhs,Static And Ben El,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://lh3.googleusercontent.com/O2e71mvoGh6OytwLiAT6TUBhKmoNZMaJtxVvQrwz-GhJrpYzVJVS-MlTOXdyW_kOg8Vx6qsv9TYOcA,22,159,150+,2308461,4139377,6328550,8065944,9554846,10769095,12008211,13022164,14083248,15177943,16289264,16982192,17683935,18343127,19044677,19695347,20325332,21015407,21633783,22214660,25113993,27900530,30331598,32493321,34402914,36141794,37751265,39373936,40850890,41899622,42840709,43750368,44558642,45463509,46127109,46946886,47623680,48486837,49315092,50102556,50844457,51589351,52298328,53014267,53688910,54380843,55062957,55675175,57455455,58791805,59908622,60952804,61925659,62833848,63828163,64770920,64770920,64770920,64770920,66470637,68107852,69504371,70809820,72131386,73387110,74564896,75605368,76625942,77485183,78369070,79278631,81058163,83913507,86691814,89285489,91619893,93467000,95870315,99602482,105081159,110740201,115338067,118908600,122155036,125053740,127445217,130166996,132523648,134496280,136383199,138287217,140064405,141768107,143450800,145069633,146748857,148497882,150045297,151620314,153042769,154554147,156085638,157566521,159037356,160490006,161792922,163006950,164200551,165414572,166614644,168686376,170897261,172713942,174338477,175827413,177442586,178929425,180208793,181485568,182633207,183775009,184894369,186018675,187166454,188877341,192197657,194796493,197322022,199905956,203181493,206707055,210392591,213966774,217285856,220478142,223026687,225953137,228606724,230717399,232761313,234628657,236433782,238247445,239858211,241349342,242712189,244827864,246906844,248609943,250255595,251726953,253276693,254912064,256558268,258110998,259620625,261117958,262553427,264021607,265350558,267597252,269887159
Queen(rock),rock,未知,Queens Of The Stone Age,/m/0bk1p,Queen,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/fJ9rUzIMcZQ/default.jpg,0,56,50+,656774,1323579,2016570,2731502,3468161,4196254,4851583,5455243,5998568,6523899,6989380,7349531,7680438,7997742,8306480,8603363,8891160,9164829,9444708,9718339,9979133,10247067,10507439,10771910,11021296,11258758,11513642,11764191,12018052,12261293,12512715,12814026,13101286,13371382,13608154,13869502,14126808,14380933,14652472,14911787,15175286,15440323,15710530,15988878,16253786,16512873,16756832,16992049,17227924,17473953,17712817,17939349,18168781,18395718,18395718,18395718,18395718,18395718,18395718,18686766,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352,18963352
Shlomo Artzi(rock),rock,未知,Shlomo Artzi,/m/04nyrv,Shlomo Artzi,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/hoOdehw9nm0/default.jpg,0,162,160+,464183,909692,1374820,1850514,2877501,3376481,3821766,4314996,4811978,5448298,6013670,6525279,6957871,7360912,7789551,8243781,8763602,9255943,9769538,10295531,10747892,11194311,11634190,12046035,12468539,12880290,13419107,14047166,14614164,15195392,15884903,16530642,17184066,17817133,18364535,19003271,19619929,20273535,20893636,21431689,21997621,22606814,23234546,23855905,24399042,24921475,25393739,25927407,26535974,27114341,27634567,28137910,28648548,29190775,29698269,30168812,30607727,31036724,31577436,32139298,32759332,33375414,33932304,34466576,34912625,35362280,35810854,36310005,36775870,37266015,37754821,38259633,38759734,39239484,39719435,40185886,40592230,41072548,41550573,42028192,42509164,42965884,43449611,43930378,44369891,44788440,45261817,45706510,46174356,46657643,47113765,47559401,48033619,48513460,49021264,49497570,49949627,50397285,50837570,51283313,51732446,52164448,52624561,53239891,53788325,54303289,54782172,55272037,55789609,56294389,56806793,57251525,57698562,58146709,58544924,58957212,59386955,59753717,60076751,60485268,60921102,61371874,61821497,62271499,62699148,63115334,63522995,63964969,64469576,64970921,65439366,65908355,66407817,66899813,67443266,67929039,68495594,69033287,69584808,70157739,70692285,71206492,71746968,72300739,72834848,73336940,73851490,74360344,74876088,75387277,75931295,76458643,76979229,77480740,77968997,78463276,78965617,79461653,79966458,80439986,80963759,81461701
杰·巴拉文(latin),latin,南美,杰·巴拉文,/m/0b__5gp,J Balvin,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/-gCe4WrmOIk/default.jpg,0,160,160+,634574,1274106,1934928,2569906,3266433,3979419,4788976,5697501,6547844,7358107,8181340,8908531,9597228,10266569,10974816,11666675,12366942,13059425,13874368,14639274,15387012,16104040,16834614,17657465,18555307,19405177,20299736,21269784,22258487,23184558,24096626,24955704,25800561,26759915,27563372,28354428,29342868,30278885,31120573,31974933,32755592,33547153,34316087,35005673,35676915,36317138,36910482,37454916,38062955,38660573,39251728,39848872,40439776,40996349,41586435,42213656,42825639,43367937,43995433,44626308,45277930,45877943,46501677,47079941,47738158,48449678,49141553,49848989,50481243,51128634,51765217,52411437,53043097,53646400,54245137,54826011,55361613,55959350,56544753,57109601,57624402,58094657,58574892,59036247,59431110,59793920,60230005,60660911,61092963,61516250,61925379,62347472,62767399,63168101,63565970,63952663,64336589,64718365,65112769,65517368,65911563,66296550,66700927,67113671,67538217,67951842,68373071,68823419,69271763,69711400,70170733,70578074,70982836,71396493,71814921,72236070,72651520,72995534,73307028,73677339,74078527,74462995,74838812,75200468,75563560,75932219,76293724,76645953,77000209,77339801,77674673,78031007,78396176,78702258,78989951,79295771,79634266,79948202,80259280,80563840,80864429,81156332,81443047,81714555,81976252,82222303,82472967,82712406,82966217,83195898,83437933,83437933,83437933,83683557,83940847,84224392,84531553,84843774,85171176,85482837,85791971,86101903
Juan Carlos Ozuna Rosado(latin),latin,北美,Juan Carlos Ozuna Rosado,/m/0yc1jt1,Ozuna,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/32F2d-wj4Xw/default.jpg,0,91,90+,444214,894201,1394525,1781059,2231461,2622971,3023156,3396856,3815701,4236967,4580380,4894535,5214420,5592279,6005388,6494911,6955469,7371129,7797073,8147803,8499749,8844469,9169747,9661502,10197860,10619581,11021758,11453133,11888373,12297219,12697437,13129892,13592291,14034427,14403988,14806835,15184605,15547767,15889603,16211999,16553439,16867605,17203365,17481041,17786211,18074832,18336837,18571364,18837543,19100544,19365777,19638720,19896412,20184862,20477323,20790903,21114310,21383785,21656465,21950024,22263171,22566040,22902016,23237152,23668498,24166859,24678420,25201325,25686762,26194876,26736135,27312324,27860301,28349608,28830513,29288238,29689030,30123725,30524693,30914319,31279995,31555445,31903369,31903369,31903369,31903369,31903369,31903369,32195950,32195950,32195950,32195950,32195950,32195950,32195950,32195950,32195950,32195950,32469870,32469870,32469870,32469870,32771278,32771278,32771278,32771278,32771278,32771278,32771278,32771278,32771278,32771278,32771278,32771278,33033258,33289734,33542273,33542273,33542273,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,33793585,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156,34063156
Omer Adam(mizrahi),mizrahi,未知,Omer Adam,/m/0gmf12r,Omer Adam,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://lh3.googleusercontent.com/a-/AOh14Gj2qTuu_u_f4e10l94x_g1wjOoa5jvZh1P8-_xNBw,0,162,160+,3534431,7769709,11612528,14705143,20143608,22517534,24587060,26491399,29636220,34463738,38760142,42067655,44735927,47418915,50064181,52692726,55277424,60869453,66237070,71051888,75478804,79976498,84188916,88003020,91492412,94421840,97999186,101747402,105915848,109951241,113423495,116773858,119865140,124436808,128052955,132040050,135559455,138604049,141570339,144296987,148619076,151835087,154886735,157354852,159697063,162029649,165821904,171335434,176332876,180759926,184837962,188797897,192574347,196321695,200467981,204811335,209107665,213261873,217707242,221746819,226181352,229788796,233016283,237238077,241414418,245518821,249441149,253340840,256501364,259710620,262734164,265594513,268762254,273263623,277241377,281042653,284033705,287408438,290774408,294567677,298698080,302136541,305209433,308280688,310924375,313229409,316237867,319889474,323998340,327508295,330397519,333099775,336251443,340067530,343480598,346561993,349454031,352077226,354727993,357644021,360303516,362719109,365174829,367621681,370181135,374843495,382194877,388623641,394790016,400577763,406601757,411486878,415739007,419893762,424074167,429269653,434434742,438425686,442060089,446788098,451210803,455293851,459208162,462961879,466338496,469420076,472314262,475097650,478342771,482304651,487429041,492700200,498479180,503867423,509013907,513152722,518578297,523923129,528874493,533922551,538478158,542785746,548467676,553921465,559014900,563984181,569020296,573728958,578084011,581994326,586031239,591623198,596500298,600523785,604176093,607636359,611460860,615761107,619944724,624281276,629556013,634285294
Eyal Golan(mizrahi),mizrahi,未知,Eyal Golan,/m/0l026y,Eyal Golan,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://lh3.googleusercontent.com/a-/AOh14GhoHKwWp4Rkt6eN9av_cn1clVEIpBfoWyPUkgEHzw,0,162,160+,3298183,6309121,9635542,13543214,18762296,22337624,25635220,28909428,32642242,43093275,51236134,57490986,63028220,68345335,73841348,79509138,84815180,89653281,94571387,99201119,103223391,106781116,111029596,114412763,117192319,120266721,123917081,128135369,131914781,135598544,139225480,142739733,146862812,150834773,154142407,157896201,161523984,165116430,168678069,171948908,175261111,178730003,182693100,186393360,189840815,193068720,196006776,198749650,201602798,204334109,208151244,211611006,214853626,218294794,221585549,224796629,227881037,232527167,236962461,241425597,246670513,254512987,259203971,264576035,270812310,277661767,284913064,292056929,298163333,304591300,310814968,318000032,324279510,329989363,335123355,339910130,344036535,348937267,354087204,359979643,365769828,370807520,375490898,380349949,384641824,388485059,393135363,397457286,402040426,406674290,411706224,416202881,420474371,424457404,428371009,432218687,436003824,439615743,443138890,446636965,450026815,453404964,456921885,460470666,464539570,469290008,473651628,477846698,482277652,487206714,495330217,502116221,507968765,515028127,521839634,528333271,534180979,538875268,542963891,548106333,553199569,558408217,563547475,568411324,572906346,577317986,581487322,585816725,591052091,595718489,600149763,604397086,608588162,612819540,618020826,622110052,626965879,631552318,636117214,640910435,645611685,650338445,655148916,660061032,664927589,669339432,673867512,678182427,682449824,686692419,691585099,696277025,700893110,705604951,710855481,715776556,720514795,725284829,730111824,734793126,739805437,744887954
Moshe Peretz(mizrahi),mizrahi,未知,Moshe Peretz,/m/080bftd,Moshe Peretz,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/mO06g1x0zVM/default.jpg,0,162,160+,690782,1320421,1944550,2550588,3100394,3601394,4048415,4434154,4843293,5366382,6278370,7130687,7648444,8184122,8682835,9222107,9763430,10303152,11201241,11913387,12562226,13587325,14904679,15977915,16761374,17521608,18488326,19503116,20461771,21432778,22493184,23512288,24585209,25552321,26384163,27373491,28302905,29239685,30172311,31043998,32311425,33507277,34600953,35617956,36580745,37480626,38340075,39171984,40079922,40952832,41852143,42808872,43758208,44735529,45723084,46701075,47677743,48661376,50301834,51776003,53396003,54690167,55791322,56987761,58061241,59328022,60754581,62208709,63451825,64702423,65862758,67005131,68108118,69228099,70636565,71972789,73067272,74428515,75864360,77297406,78647767,80098285,81447686,82742296,83995433,85039998,86211106,87270599,88311848,89276995,90164075,91024218,91879091,92685112,93536397,94373139,95182911,95962417,97036255,98119557,99113552,100013049,100908194,101853897,103172580,104363179,105493832,106543955,107631020,108921836,110549723,111832663,112986397,114153386,115224945,116304033,117327476,118227693,119032631,120033612,121196034,122341113,123365269,124335770,125216827,126038988,126812430,127585694,128404675,129234711,130050767,130936915,131782220,132524708,133231802,133844401,134843270,135796773,136721192,137644120,138470295,139267981,140097891,140866422,141669035,142433259,143177031,143858832,144531876,145153455,145815088,146458090,147094349,147708160,148336310,149057342,150024387,150861393,151625204,152351306,153098224,153801886
Sarit Hadad(mizrahi),mizrahi,未知,Sarit Hadad,/m/01l_8s1,Sarit Hadad,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/F1eJ6yM1tOw/default.jpg,0,162,160+,625196,1212590,1831521,2381539,3542053,4156396,4934781,5690810,6392641,7214485,7859356,8431278,8902919,9306388,9733714,10160359,10617200,11042039,11485896,11932263,12339183,12670692,12990325,13283915,13579746,13898295,14487258,15106295,15794655,16419252,17037005,17643331,18241451,19077835,19737309,20412059,21019615,21657833,22313844,22949133,23747131,24704028,25485840,26194198,26887867,27529204,28095388,28933370,29867958,30679778,31427005,32209601,32973503,33760708,34545697,35303451,36032252,36680342,37444999,38380875,39417131,40417866,41369161,42592800,43774371,44890344,45922701,47020920,47975751,48955087,49882723,50775877,51641142,52440387,53214090,53936763,54563503,55304855,56035571,56753341,57467528,58158321,58909203,59615122,60326192,60893685,61566467,62169805,62809041,63488186,64373017,65228456,65981775,66661929,67394131,68097399,68756520,69466384,70173793,70883845,71620205,72578450,73503777,74405869,75336003,76175433,76930952,77676473,78454420,79250010,80231099,81200632,82181010,83207557,84238513,85351318,87013644,88730982,90109750,91855188,93536141,95049711,96438973,97705193,98901785,100020944,101113882,102239700,103399834,104520722,105594311,106634801,107692798,108684499,109593415,110411361,112314050,113712613,115062897,116293283,117471972,118688971,119936966,121177635,122348782,123490646,125030878,126543419,127995149,129512091,131162063,132647520,134065539,135371944,136692855,138033667,139212371,140382133,141545793,142735560,143906631,144987102
Offer Nissim(circuit),circuit,未知,Offer Nissim,/m/01rs1r7,Offer Nissim,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20190201:20190207:il,https://i.ytimg.com/vi/3VH7QNWV0Ik/default.jpg,0,23,20+,498268,961467,1419068,1864162,2266689,2664186,3335646,3940653,4509107,5071555,5506816,5839801,6129604,6411080,6709773,6978698,7242860,7497708,7758649,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,7993415,8252803,8579519,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140,8840140
